
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   379380
Number of nonzeros in inequality constraint Jacobian.:      172
Number of nonzeros in Lagrangian Hessian.............:   149721

Reallocating memory for MA57: lfact (8223916)
Total number of variables............................:    76020
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    76020
                     variables with only upper bounds:        0
Total number of equality constraints.................:    57487
Total number of inequality constraints...............:       87
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:        0
  77 8.9281260e-001 5.39e-002 5.76e-006  -6.5 1.81e-001  -4.8 1.00e+000 1.00e+000h  1
  78 8.9031097e-001 2.69e-001 2.55e-005  -6.7 5.71e-001  -5.3 1.00e+000 1.00e+000h  1
  79 8.9532818e-001 1.04e+000 9.75e-005  -6.3 1.54e+000  -5.8 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 8.9371141e-001 1.67e-001 2.12e-005  -6.4 5.34e-001  -5.3 1.00e+000 1.00e+000h  1
  81 8.9370913e-001 6.07e-001 5.22e-005  -6.4 1.51e+000  -5.8 1.00e+000 1.00e+000H  1
  82 8.9969468e-001 1.88e+001 3.71e-004  -6.2 3.99e+000  -6.3 1.00e+000 1.00e+000h  1
  83 8.9717604e-001 2.73e-001 5.46e-005  -6.2 2.53e-001  -4.1 1.00e+000 1.00e+000h  1
  84 8.9716062e-001 2.32e-002 1.20e-005  -6.2 6.38e-002  -4.5 1.00e+000 1.00e+000h  1
  85 8.9189966e-001 3.40e-001 1.34e-004  -6.5 2.17e-001  -5.0 1.00e+000 1.00e+000h  1
  86 8.9147630e-001 5.34e-001 1.49e-003  -6.6 6.50e-001  -5.5 1.00e+000 4.11e-001h  1
  87 8.9099090e-001 4.23e-001 4.78e-004  -6.6 1.63e+000  -6.0 1.00e+000 7.93e-001h  1
  88 8.9012774e-001 6.87e+000 1.99e-004  -6.7 4.67e+000  -6.4 9.98e-001 1.00e+000h  1
  89 8.8797920e-001 2.20e+000 3.10e-005  -7.1 1.68e+000  -6.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 8.8726494e-001 4.31e+000 8.63e-004  -7.4 4.66e+000  -6.5 7.17e-001 1.00e+000h  1
  91 8.8683922e-001 9.78e-001 1.56e-005  -7.8 1.70e+000  -6.1 1.00e+000 1.00e+000h  1
  92 8.8810794e-001 1.71e+000 5.54e-003  -6.6 6.47e+000  -6.5 4.91e-002 3.53e-001h  1
  93 8.8695186e-001 6.64e-001 2.32e-004  -7.5 2.17e-001  -5.2 1.00e+000 9.61e-001h  1
  94 8.8702038e-001 2.33e-001 9.93e-006  -7.5 6.08e-001  -5.7 1.00e+000 1.00e+000h  1
  95 8.8738400e-001 1.06e-001 2.04e-005  -7.3 1.56e+000  -6.2 1.00e+000 1.00e+000h  1
  96 8.8721702e-001 2.55e-002 4.05e-006  -7.4 5.69e-001  -5.7 1.00e+000 1.00e+000h  1
  97 8.8685391e-001 1.83e-001 1.43e-003  -7.7 1.50e+000  -6.2 5.87e-001 1.00e+000h  1
  98 8.8732151e-001 7.48e-001 3.12e-004  -7.3 6.15e+000  -6.7 1.00e+000 1.00e+000h  1
  99 8.8716075e-001 1.02e-001 1.62e-005  -7.4 1.83e+000  -6.3 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 8.8768153e-001 1.71e-001 1.19e-004  -7.1 5.56e+000  -6.7 1.00e+000 1.00e+000h  1
 101 8.8743842e-001 3.57e-002 1.03e-005  -7.2 2.00e+000  -6.3 1.00e+000 1.00e+000h  1
 102 8.8742270e-001 9.61e-002 7.29e-005  -7.2 5.74e+000  -6.8 1.00e+000 1.00e+000h  1
 103 8.8739668e-001 4.02e+000 5.29e-004  -7.2 1.46e+001  -7.3 8.06e-001 6.74e-001h  1
 104 8.8738977e-001 1.95e+000 3.90e-004  -7.2 5.43e+000  -6.8 1.00e+000 6.16e-001h  1
 105 8.8738895e-001 2.09e+000 2.15e-003  -7.2 8.28e+000  -7.3 8.34e-001 7.63e-002h  1
 106 8.8738570e-001 2.19e+000 1.84e-005  -7.2 1.99e+000  -6.9 1.00e+000 1.00e+000h  1
