
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeState_vAIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   242731
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 7.6367297e+000 4.19e+000 3.30e-002  -3.8 6.77e+000  -5.1 3.64e-001 4.39e-001h  1
 121 7.7424969e+000 3.15e+000 5.65e-003  -3.6 1.82e+000  -4.6 1.00e+000 1.00e+000h  1
 122 7.0073039e+000 1.03e+001 7.53e-003  -3.8 4.77e+000  -5.1 1.00e+000 9.87e-001h  1
 123 6.5564812e+000 2.43e+001 8.38e-002  -4.2 2.42e+000  -4.7 2.41e-001 1.00e+000h  1
 124 5.9835722e+000 1.22e+001 1.54e-002  -4.2 5.09e+000  -5.2 9.99e-001 1.00e+000h  1
 125 5.9123582e+000 6.64e+000 7.80e-003  -4.6 1.12e+000  -3.8 9.89e-001 1.00e+000h  1
 126 5.7557489e+000 6.35e+000 4.82e-003  -4.6 1.23e+000  -4.3 1.00e+000 1.00e+000h  1
 127 5.6731510e+000 3.49e+000 1.75e-003  -5.3 5.95e-001  -3.9 9.91e-001 1.00e+000h  1
 128 5.6157001e+000 2.25e+001 1.47e-002  -4.5 1.63e+000  -4.4 1.00e+000 1.00e+000h  1
 129 5.5952036e+000 1.76e+000 8.60e-003  -4.9 5.23e-001  -3.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 5.5467764e+000 4.74e-001 1.60e-003  -5.3 2.30e-001  -3.5 1.00e+000 9.99e-001h  1
 131 5.5034722e+000 4.71e-001 1.51e-003  -4.8 6.36e-001  -4.0 1.00e+000 1.00e+000h  1
 132 5.4252204e+000 6.37e+000 6.69e-004  -4.6 1.56e+000  -4.5 1.00e+000 1.00e+000h  1
 133 5.4085452e+000 5.46e+000 3.48e-003  -4.2 3.03e+000  -4.9 1.00e+000 9.46e-001h  1
 134 5.4357703e+000 4.80e+000 1.15e-002  -4.0 6.90e+001  -5.4 6.63e-002 1.24e-001h  1
 135 5.2895790e+000 1.18e+000 9.94e-003  -4.3 3.36e+000  -5.0 1.00e+000 9.07e-001h  1
 136 5.4237862e+000 3.90e+001 1.25e-002  -4.0 7.10e+000  -5.5 6.50e-001 7.84e-001h  1
 137 5.3691083e+000 2.28e+001 2.29e-002  -4.2 2.87e+000  -4.1 1.00e+000 1.00e+000h  1
 138 5.2368430e+000 6.05e+000 1.81e-003  -4.3 1.47e+000  -4.6 1.00e+000 1.00e+000h  1
 139 5.0022427e+000 1.42e+001 2.58e-003  -4.4 3.70e+000  -5.1 9.57e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 4.9440296e+000 1.64e+000 4.00e-003  -5.0 4.63e-001  -3.8 9.99e-001 1.00e+000h  1
